chromosome	start	end	strand	C%+G%	Obs/Exp	CG_count	len
chr2	186603131	186604217	+	59.67	0.73	69.0	1086	
chr2	187350498	187352103	+	53.89	0.87	101.0	1605	
chr2	187454003	187455350	+	61.84	0.9	115.0	1347	
chr2	187558319	187559013	+	66.71	0.74	57.0	694	
chr2	187713531	187714438	+	56.01	0.7	49.0	907	
chr2	187826592	187827391	+	68.21	0.64	59.0	799	
chr2	187867635	187868199	+	62.23	0.7	38.0	564	
chr2	187918288	187918859	+	56.22	0.72	32.0	571	
chr2	188976918	188977499	+	55.08	0.64	28.0	581	
chr2	189038549	189039104	+	51.35	0.62	22.0	555	
chr2	189156292	189157893	+	62.96	0.77	120.0	1601	
chr2	189471071	189471686	+	72.2	0.62	50.0	615	
chr2	190306076	190306685	+	57.96	0.81	40.0	609	
chr2	190445438	190446390	+	65.44	0.92	93.0	952	
chr2	190525875	190526576	+	56.49	0.8	45.0	701	
chr2	190539027	190539824	+	64.24	0.81	67.0	797	
chr2	190624949	190625467	+	58.11	0.62	27.0	518	
chr2	190627031	190627712	+	53.6	0.67	33.0	681	
chr2	190648567	190649536	+	67.8	0.94	105.0	969	
chr2	190743879	190744465	+	61.26	0.69	38.0	586	
chr2	190787603	190788112	+	51.67	0.65	22.0	509	
chr2	190791043	190791606	+	57.37	0.76	35.0	563	
chr2	191044901	191046020	+	69.26	0.72	97.0	1119	
chr2	191184281	191184812	+	65.54	0.83	47.0	531	
chr2	191208226	191209059	+	72.63	0.96	105.0	833	
chr2	191230537	191231061	+	52.67	0.87	23.0	524	
chr2	191272351	191273799	+	70.1	0.85	151.0	1448	
chr2	191398636	191399889	+	64.25	0.86	111.0	1253	
chr2	191512851	191514697	+	65.87	0.93	185.0	1846	
chr2	191625579	191626214	+	72.76	0.67	56.0	635	
chr2	191744681	191746856	+	63.17	0.82	177.0	2175	
chr2	191878304	191879385	+	60.13	0.91	89.0	1081	
chr2	191884944	191885546	+	65.12	1.0	64.0	602	
chr2	192109731	192111225	+	67.8	0.87	148.0	1494	
chr2	192542343	192543594	+	61.87	0.83	99.0	1251	
chr2	192543718	192544400	+	54.11	0.68	34.0	682	
chr2	192746300	192747016	+	59.78	0.81	52.0	716	
chr2	193058996	193060934	+	64.91	0.76	153.0	1938	
chr2	193758157	193759219	+	66.67	0.6	70.0	1062	
chr2	194035467	194035971	+	59.13	0.71	31.0	504	
chr2	194367142	194367669	+	72.87	0.6	42.0	527	
chr2	195937825	195938331	+	57.11	0.76	31.0	506	
chr2	196243477	196244003	+	56.27	0.7	29.0	526	
chr2	196412036	196412773	+	67.44	0.66	55.0	737	
chr2	196431904	196433502	+	71.46	0.6	122.0	1598	
chr2	196489320	196489867	+	52.29	0.67	25.0	547	
chr2	196521354	196523088	+	62.46	0.98	162.0	1734	
chr2	196933066	196933917	+	60.16	0.69	53.0	851	
chr2	197035304	197036782	+	64.95	0.88	136.0	1478	
chr2	197457131	197458802	+	67.15	0.96	180.0	1671	
chr2	197504013	197504693	+	60.74	0.81	51.0	680	
chr2	197663879	197664573	+	54.76	0.81	42.0	694	
chr2	197790921	197792568	+	55.74	0.79	100.0	1647	
chr2	198174659	198175982	+	72.64	0.9	155.0	1323	
chr2	198235151	198235763	+	71.57	0.61	48.0	612	
chr2	198235969	198236485	+	53.29	0.72	26.0	516	
chr2	198299183	198300220	+	56.32	0.96	79.0	1037	
chr2	198317774	198318856	+	61.18	0.83	82.0	1082	
chr2	198363334	198363876	+	52.21	0.82	30.0	542	
chr2	198363982	198365406	+	68.47	0.88	147.0	1424	
chr2	198380115	198381419	+	62.12	0.79	99.0	1304	
chr2	198383056	198383913	+	52.51	0.63	37.0	857	
chr2	198557793	198558518	+	57.93	0.61	37.0	725	
chr2	198569838	198570949	+	64.63	0.93	108.0	1111	
chr2	198649579	198652164	+	63.13	0.77	199.0	2585	
chr2	198669052	198670305	+	69.51	0.91	137.0	1253	
chr2	198768230	198768808	+	53.81	0.7	29.0	578	
chr2	200320452	200321492	+	60.96	0.77	74.0	1040	
chr2	200322903	200324965	+	67.65	0.85	201.0	2062	
chr2	200326591	200329157	+	64.5	0.74	198.0	2566	
chr2	200333688	200334586	+	58.57	0.74	57.0	898	
chr2	200335406	200336515	+	62.85	0.74	81.0	1109	
chr2	200468552	200469113	+	61.5	0.81	43.0	561	
chr2	200715389	200716068	+	73.34	0.94	85.0	679	
chr2	200775616	200776904	+	60.56	0.93	108.0	1288	
chr2	200818776	200819445	+	54.86	0.68	34.0	669	
chr2	200819700	200821028	+	58.96	0.76	87.0	1328	
chr2	201039338	201039896	+	74.01	0.72	55.0	558	
chr2	201170691	201172607	+	68.16	0.99	218.0	1916	
chr2	201346154	201346700	+	54.95	0.7	28.0	546	
chr2	201354764	201355357	+	57.67	0.71	35.0	593	
chr2	201374372	201375100	+	70.05	0.87	78.0	728	
chr2	201390686	201391403	+	62.48	0.83	58.0	717	
chr2	201450506	201451066	+	65.36	0.84	50.0	560	
chr2	201675990	201677477	+	68.59	0.85	147.0	1487	
chr2	201727749	201729578	+	57.19	0.92	138.0	1829	
chr2	201753264	201754270	+	54.87	0.83	63.0	1006	
chr2	201827750	201828595	+	62.25	0.8	65.0	845	
chr2	201935877	201936742	+	58.03	0.78	51.0	865	
chr2	201961810	201962405	+	57.31	0.79	38.0	595	
chr2	201980110	201981875	+	58.75	0.78	119.0	1765	
chr2	201982904	201983738	+	58.03	0.75	52.0	834	
chr2	202030778	202031674	+	69.2	0.62	66.0	896	
chr2	202315854	202317340	+	66.82	0.84	139.0	1486	
chr2	202507030	202508332	+	63.29	0.86	111.0	1302	
chr2	202645093	202646504	+	57.76	0.71	84.0	1411	
chr2	202897329	202900355	+	68.21	0.94	331.0	3026	
chr2	202900461	202901102	+	63.49	0.81	52.0	641	
chr2	203000765	203001726	+	59.11	0.69	58.0	961	
chr2	203102513	203103605	+	64.1	0.69	77.0	1092	
chr2	203103705	203104275	+	54.74	0.7	30.0	570	
chr2	203115679	203116239	+	53.93	0.62	25.0	560	
chr2	203129907	203131432	+	54.62	0.79	89.0	1525	
chr2	203173184	203173798	+	50.33	0.62	24.0	614	
chr2	203222305	203222885	+	54.14	0.68	29.0	580	
chr2	203231627	203232713	+	54.14	0.74	58.0	1086	
chr2	203239866	203242446	+	62.67	0.85	215.0	2580	
chr2	203306155	203306745	+	54.41	0.62	27.0	590	
chr2	203349103	203349843	+	54.73	0.71	39.0	740	
chr2	203391976	203392505	+	56.9	0.81	34.0	529	
chr2	203459850	203460581	+	52.53	0.64	32.0	731	
chr2	203467699	203468323	+	54.97	0.62	29.0	624	
chr2	203497956	203498641	+	54.74	0.67	34.0	685	
chr2	203499251	203500770	+	72.88	0.87	176.0	1519	
chr2	203510044	203510656	+	56.86	0.75	37.0	612	
chr2	203735866	203736919	+	66.76	0.93	109.0	1053	
chr2	203776837	203777616	+	63.67	0.82	65.0	779	
chr2	203878385	203880480	+	53.84	0.67	102.0	2095	
chr2	204102755	204104798	+	59.03	0.78	139.0	2043	
chr2	204109478	204110046	+	55.11	0.61	26.0	568	
chr2	204127436	204128313	+	56.33	0.64	44.0	877	
chr2	204192656	204193741	+	70.14	0.93	123.0	1085	
chr2	204237066	204238273	+	66.53	0.6	80.0	1207	
chr2	204283854	204284489	+	55.75	0.63	31.0	635	
chr2	204399420	204400859	+	67.06	0.89	142.0	1439	
chr2	204507501	204508424	+	63.6	0.6	56.0	923	
chr2	204643376	204643925	+	58.47	0.71	33.0	549	
chr2	204649023	204649768	+	52.48	0.65	33.0	745	
chr2	204776043	204776632	+	54.67	0.71	31.0	589	
chr2	205128757	205129266	+	51.47	0.6	19.0	509	
chr2	205409582	205410911	+	69.9	0.77	125.0	1329	
chr2	205543132	205543654	+	51.92	0.61	21.0	522	
chr2	206546358	206547789	+	60.87	0.93	122.0	1431	
chr2	206549373	206552103	+	59.93	0.74	182.0	2730	
chr2	206804098	206804613	+	54.95	0.63	24.0	515	
chr2	206949713	206950756	+	74.69	0.78	113.0	1043	
chr2	206962981	206963493	+	55.66	0.63	25.0	512	
chr2	206963672	206964210	+	56.32	0.66	28.0	538	
chr2	207023158	207025140	+	53.53	0.87	124.0	1982	
chr2	207074349	207074894	+	51.56	0.64	23.0	545	
chr2	207078568	207079154	+	50.34	0.65	24.0	586	
chr2	207114583	207115955	+	51.02	0.8	71.0	1372	
chr2	207138963	207140323	+	64.19	0.92	128.0	1360	
chr2	207275280	207275791	+	56.36	0.74	30.0	511	
chr2	207307881	207309310	+	68.44	0.88	145.0	1429	
chr2	207506446	207507658	+	60.97	0.63	70.0	1212	
chr2	207629677	207630942	+	53.75	0.76	69.0	1265	
chr2	207988444	207989111	+	58.47	0.6	34.0	667	
chr2	208030853	208031927	+	69.93	0.87	113.0	1074	
chr2	208393569	208395602	+	68.72	0.88	210.0	2033	
chr2	208396801	208397382	+	53.18	0.66	27.0	581	
chr2	208489285	208492183	+	62.56	0.78	221.0	2898	
chr2	208546083	208546869	+	69.72	0.8	76.0	786	
chr2	208554363	208554887	+	51.15	0.61	21.0	524	
chr2	208575547	208577107	+	63.65	0.82	129.0	1560	
chr2	208631499	208634953	+	68.21	0.81	325.0	3454	
chr2	208635077	208635762	+	53.58	0.72	35.0	685	
chr2	208662186	208662857	+	53.06	0.63	29.0	671	
chr2	208702278	208702799	+	51.25	0.65	22.0	521	
chr2	208890033	208890834	+	57.68	0.68	45.0	801	
chr2	208976901	208977454	+	68.35	0.71	45.0	553	
chr2	208988835	208989600	+	59.22	0.79	51.0	765	
chr2	209033119	209033678	+	50.98	0.75	27.0	559	
chr2	209039711	209040301	+	51.19	0.6	23.0	590	
chr2	209118777	209119417	+	60.31	0.66	37.0	640	
chr2	209119534	209120310	+	64.69	0.68	55.0	776	
chr2	209130607	209131562	+	61.05	0.68	60.0	955	
chr2	209271151	209272262	+	62.74	0.82	89.0	1111	
chr2	209665359	209665860	+	56.29	0.61	24.0	501	
chr2	210073545	210074467	+	63.88	0.62	58.0	922	
chr2	210251962	210252492	+	72.26	0.67	46.0	530	
chr2	210288297	210288799	+	75.3	0.8	56.0	502	
chr2	210525148	210525765	+	53.81	0.85	37.0	617	
chr2	210636246	210637313	+	64.76	0.72	80.0	1067	
chr2	210672948	210673886	+	57.25	0.64	49.0	938	
chr2	210729596	210730303	+	55.16	0.67	36.0	707	
chr2	210867107	210867777	+	63.13	0.82	55.0	670	
chr2	210923339	210923858	+	51.64	0.64	22.0	519	
chr2	211035422	211036638	+	67.68	0.86	118.0	1216	
chr2	211089370	211090351	+	64.83	0.91	94.0	981	
chr2	211340915	211341645	+	57.53	0.8	48.0	730	
chr2	211814895	211815864	+	67.7	0.61	67.0	969	
chr2	213401025	213404024	+	59.49	0.8	212.0	2999	
chr2	213585745	213586324	+	71.5	0.62	46.0	579	
chr2	213696350	213698507	+	63.51	0.9	194.0	2157	
chr2	214016320	214017106	+	73.41	1.14	120.0	786	
chr2	214148856	214149452	+	65.27	0.88	54.0	596	
chr2	214607298	214607924	+	55.75	0.77	37.0	626	
chr2	214669129	214669658	+	52.55	0.72	26.0	529	
chr2	215673581	215675148	+	63.62	0.9	142.0	1567	
chr2	216084905	216085481	+	54.51	0.7	30.0	576	
chr2	216161303	216161920	+	53.0	0.89	38.0	617	
chr2	216173780	216174344	+	57.27	0.66	30.0	564	
chr2	216176467	216177133	+	71.77	0.76	65.0	666	
chr2	216300130	216301946	+	58.59	0.66	103.0	1816	
chr2	216877750	216878514	+	66.62	0.85	72.0	764	
chr2	216946201	216946735	+	68.91	0.75	46.0	534	
chr2	216973763	216974339	+	59.2	1.1	54.0	576	
chr2	217236026	217237132	+	68.35	0.78	101.0	1106	
chr2	217276942	217277650	+	62.29	0.76	51.0	708	
chr2	217363167	217364093	+	56.37	0.75	55.0	926	
chr2	217497419	217499167	+	66.25	0.83	155.0	1748	
chr2	217503415	217504070	+	53.59	0.62	29.0	655	
chr2	217547429	217547970	+	53.42	0.65	25.0	541	
chr2	217556769	217557777	+	56.65	0.66	53.0	1008	
chr2	217558780	217559579	+	65.71	0.74	63.0	799	
chr2	218014382	218014901	+	57.42	0.82	35.0	519	
chr2	218874087	218875733	+	66.04	0.6	107.0	1646	
chr2	219081537	219082298	+	68.59	0.9	80.0	761	
chr2	219134583	219135394	+	64.86	0.79	67.0	811	
chr2	219156703	219157409	+	71.53	0.69	62.0	706	
chr2	219186373	219186946	+	55.5	0.67	29.0	573	
chr2	219187567	219188610	+	69.42	0.69	84.0	1043	
chr2	219232083	219232893	+	66.3	0.76	68.0	810	
chr2	219233021	219233872	+	57.34	0.72	50.0	851	
chr2	219237865	219238441	+	55.03	0.62	27.0	576	
chr2	219252422	219253634	+	59.32	0.65	69.0	1212	
chr2	219262128	219265859	+	67.17	0.7	296.0	3731	
chr2	219344607	219345118	+	54.4	0.64	24.0	511	
chr2	219432579	219433440	+	62.83	0.84	71.0	861	
chr2	219433545	219434095	+	64.0	0.96	54.0	550	
chr2	219523434	219524856	+	60.97	0.63	83.0	1422	
chr2	219536388	219537233	+	61.54	0.61	49.0	845	
chr2	219575203	219576138	+	66.42	0.82	84.0	935	
chr2	219646210	219647234	+	62.6	0.84	84.0	1024	
chr2	219710680	219711903	+	69.26	0.61	89.0	1223	
chr2	219723328	219725136	+	67.64	0.76	153.0	1808	
chr2	219735801	219736786	+	68.02	0.7	78.0	985	
chr2	219737857	219738789	+	67.38	0.9	92.0	932	
chr2	219744872	219745878	+	71.97	0.63	81.0	1006	
chr2	219748142	219749104	+	72.45	0.73	91.0	962	
chr2	219757236	219758156	+	68.37	0.76	81.0	920	
chr2	219773224	219774275	+	58.52	0.76	68.0	1051	
chr2	219823859	219825962	+	69.81	0.78	200.0	2103	
chr2	219827548	219828206	+	61.55	0.71	44.0	658	
chr2	219844617	219845342	+	61.79	0.61	38.0	725	
chr2	219845517	219848029	+	63.5	0.69	171.0	2512	
chr2	219848825	219849504	+	66.86	0.7	53.0	679	
chr2	219849615	219850761	+	67.71	0.69	87.0	1146	
chr2	219857683	219859036	+	68.37	0.81	128.0	1353	
chr2	219865819	219868157	+	67.66	0.7	188.0	2338	
chr2	219879279	219879901	+	51.93	0.65	27.0	622	
chr2	219905946	219906470	+	51.53	0.83	29.0	524	
chr2	219922001	219923341	+	65.75	0.64	92.0	1340	
chr2	219923610	219926131	+	70.84	0.71	224.0	2521	
chr2	219966329	219966834	+	50.89	0.69	22.0	505	
chr2	220024466	220025746	+	62.5	0.73	91.0	1280	
chr2	220040830	220042134	+	67.25	0.76	112.0	1304	
chr2	220042339	220043838	+	62.98	0.75	111.0	1499	
chr2	220065176	220065729	+	52.62	0.63	24.0	553	
chr2	220070894	220072219	+	62.42	0.78	99.0	1325	
chr2	220082992	220084410	+	66.36	0.69	108.0	1418	
chr2	220093717	220095215	+	63.89	0.8	122.0	1498	
chr2	220107544	220108853	+	57.45	0.6	65.0	1309	
chr2	220109840	220110778	+	63.65	0.6	57.0	938	
chr2	220117481	220119407	+	65.99	0.66	139.0	1926	
chr2	220143778	220144750	+	67.39	0.65	71.0	972	
chr2	220159439	220160242	+	65.01	0.75	64.0	803	
chr2	220172962	220174332	+	66.28	0.63	91.0	1370	
chr2	220177397	220177927	+	73.96	0.7	51.0	530	
chr2	220196370	220196915	+	64.77	0.68	39.0	545	
chr2	220197097	220197666	+	62.74	0.6	32.0	569	
chr2	220222903	220223931	+	67.7	0.63	73.0	1028	
chr2	220252009	220253790	+	68.11	0.86	163.0	1781	
chr2	220282826	220284072	+	68.78	0.77	113.0	1246	
chr2	220299116	220300244	+	70.92	0.63	89.0	1128	
chr2	220306036	220307540	+	69.88	0.66	120.0	1504	
chr2	220312699	220314095	+	74.21	0.8	153.0	1396	
chr2	220330357	220330913	+	64.57	0.71	41.0	556	
chr2	220348182	220349785	+	73.36	0.68	146.0	1603	
chr2	220361168	220363892	+	63.62	0.7	192.0	2724	
chr2	220386848	220388098	+	66.48	0.67	91.0	1250	
chr2	220406340	220407001	+	68.68	0.67	52.0	661	
chr2	220407699	220409199	+	71.8	0.76	146.0	1500	
chr2	220416134	220418048	+	68.13	0.73	162.0	1914	
chr2	220434778	220436379	+	74.14	0.86	190.0	1601	
chr2	220461875	220463132	+	56.17	0.8	79.0	1257	
chr2	220491834	220492932	+	73.86	0.74	107.0	1098	
chr2	220615732	220616785	+	65.81	0.63	71.0	1053	
chr2	221769244	221769834	+	52.88	0.62	25.0	590	
chr2	222435099	222438997	+	62.21	0.79	299.0	3898	
chr2	222756247	222757294	+	67.62	0.61	72.0	1047	
chr2	222849280	222849803	+	58.7	0.69	31.0	523	
chr2	222899300	222899804	+	52.98	0.63	22.0	504	
chr2	223159726	223160488	+	60.24	0.82	56.0	762	
chr2	223161532	223162070	+	59.67	0.81	39.0	538	
chr2	223162581	223163942	+	60.18	0.75	92.0	1361	
chr2	223164367	223164969	+	51.5	0.73	29.0	602	
chr2	223168021	223169145	+	54.98	0.65	53.0	1124	
chr2	223169338	223171352	+	56.55	0.76	122.0	2014	
chr2	223171464	223172435	+	57.88	0.61	49.0	971	
chr2	223176055	223177844	+	56.79	0.76	110.0	1789	
chr2	223182991	223185869	+	67.2	0.84	274.0	2878	
chr2	223288506	223290552	+	63.05	0.8	163.0	2046	
chr2	223520163	223520894	+	57.46	0.83	50.0	731	
chr2	223535909	223536972	+	62.09	0.77	79.0	1063	
chr2	223725418	223726709	+	70.02	0.9	142.0	1291	
chr2	223760612	223762628	+	74.16	0.61	168.0	2016	
chr2	223917577	223918304	+	62.04	0.63	44.0	727	
chr2	224024548	224025066	+	53.47	0.62	23.0	518	
chr2	224477729	224478454	+	53.66	0.65	34.0	725	
chr2	224689181	224690066	+	50.73	0.6	34.0	885	
chr2	224701614	224702791	+	66.61	0.89	112.0	1177	
chr2	224806760	224807831	+	52.47	0.66	48.0	1071	
chr2	224808854	224810220	+	70.86	0.81	134.0	1366	
chr2	224821720	224822728	+	56.25	0.92	73.0	1008	
chr2	224903191	224904736	+	71.65	0.86	170.0	1545	
chr2	225306901	225307854	+	68.84	0.85	94.0	953	
chr2	225449257	225450861	+	70.76	0.87	168.0	1604	
chr2	225468368	225469070	+	67.66	0.6	48.0	702	
chr2	225541978	225542648	+	53.13	0.68	32.0	670	
chr2	225906007	225908041	+	62.64	0.78	156.0	2034	
chr2	226094115	226094718	+	71.97	0.6	47.0	603	
chr2	226446639	226447399	+	60.13	0.83	55.0	760	
chr2	226608700	226609376	+	69.53	0.61	50.0	676	
chr2	227525873	227526411	+	52.04	0.62	21.0	538	
chr2	227615985	227616495	+	53.53	0.69	25.0	510	
chr2	227655904	227656724	+	67.68	0.83	78.0	820	
chr2	227661500	227665383	+	65.59	0.7	292.0	3883	
chr2	227699428	227701334	+	56.87	0.86	132.0	1906	
chr2	228028265	228029987	+	67.89	0.68	135.0	1722	
chr2	228189797	228190502	+	66.1	0.88	67.0	705	
chr2	228336532	228337975	+	67.78	0.89	144.0	1443	
chr2	228466444	228467090	+	52.17	0.73	32.0	646	
chr2	228583327	228583886	+	54.2	0.62	25.0	559	
chr2	228668386	228669035	+	55.32	0.63	31.0	649	
chr2	228736025	228736571	+	65.57	0.72	42.0	546	
chr2	229045587	229046882	+	61.39	0.64	78.0	1295	
chr2	229062890	229063594	+	50.71	0.6	27.0	704	
chr2	230135486	230136365	+	69.17	0.79	82.0	879	
chr2	230578063	230580294	+	71.31	0.75	211.0	2231	
chr2	230743316	230743832	+	53.1	0.66	24.0	516	
chr2	230785831	230788135	+	62.67	0.79	172.0	2304	
chr2	230788592	230789100	+	54.13	0.78	29.0	508	
chr2	230797507	230798024	+	51.64	0.71	24.0	517	
chr2	230802715	230804317	+	50.87	0.71	73.0	1602	
chr2	230863542	230864140	+	53.01	0.65	27.0	598	
chr2	230910563	230911454	+	53.54	0.63	40.0	891	
chr2	230931389	230932033	+	54.19	0.64	30.0	644	
chr2	230932469	230933753	+	67.52	0.79	114.0	1284	
chr2	231013564	231014297	+	52.39	0.84	42.0	733	
chr2	231276034	231277045	+	61.03	0.71	66.0	1011	
chr2	231515910	231516445	+	50.84	0.65	22.0	535	
chr2	231576499	231577013	+	52.14	0.75	26.0	514	
chr2	231577221	231578857	+	68.46	0.9	172.0	1636	
chr2	231692322	231693689	+	69.06	0.66	107.0	1367	
chr2	231712232	231713025	+	56.12	0.66	41.0	793	
chr2	231714276	231714817	+	59.33	0.7	33.0	541	
chr2	231728826	231730954	+	65.65	0.66	148.0	2128	
chr2	231828946	231829510	+	71.45	0.61	44.0	564	
chr2	231854376	231856476	+	62.19	0.72	147.0	2100	
chr2	231901584	231903228	+	70.86	0.87	178.0	1644	
chr2	231917111	231918231	+	57.41	0.76	70.0	1120	
chr2	231921208	231922482	+	62.24	0.71	87.0	1274	
chr2	232055137	232055836	+	68.53	0.6	49.0	699	
chr2	232062873	232063984	+	61.57	0.86	91.0	1111	
chr2	232120476	232121145	+	56.95	0.79	43.0	669	
chr2	232174728	232175245	+	52.8	0.62	22.0	517	
chr2	232231281	232231858	+	56.15	0.62	28.0	577	
chr2	232260101	232261135	+	77.95	0.82	128.0	1034	
chr2	232262168	232263646	+	63.06	0.6	87.0	1478	
chr2	232265560	232266256	+	53.59	0.66	33.0	696	
chr2	232276543	232277567	+	64.45	0.71	75.0	1024	
chr2	232283219	232283861	+	57.79	0.66	35.0	642	
chr2	232328291	232330835	+	62.15	0.89	218.0	2544	
chr2	232363070	232363763	+	51.52	0.67	30.0	693	
chr2	232378816	232379823	+	61.17	1.02	96.0	1007	
chr2	232394764	232395772	+	70.63	0.76	93.0	1008	
chr2	232478360	232481015	+	64.48	0.71	196.0	2655	
chr2	232505977	232506757	+	52.56	0.63	33.0	780	
chr2	232526667	232528064	+	63.42	0.94	132.0	1397	
chr2	232545089	232546947	+	67.98	0.65	139.0	1858	
chr2	232570828	232575994	+	67.4	0.89	524.0	5166	
chr2	232645142	232646688	+	62.48	0.74	110.0	1546	
chr2	232650747	232651662	+	65.36	0.77	75.0	915	
chr2	232789918	232792425	+	67.17	0.75	213.0	2507	
chr2	232824857	232826940	+	59.29	0.75	136.0	2083	
chr2	233215546	233217786	+	69.06	0.7	188.0	2240	
chr2	233245886	233246653	+	68.71	0.68	61.0	767	
chr2	233251160	233253695	+	67.81	0.72	208.0	2535	
chr2	233283265	233286334	+	67.45	0.72	252.0	3069	
chr2	233323381	233324055	+	68.4	0.71	56.0	674	
chr2	233350099	233353152	+	71.47	0.83	323.0	3053	
chr2	233367353	233368578	+	67.76	0.72	101.0	1225	
chr2	233386594	233387645	+	73.64	0.69	98.0	1051	
chr2	233387771	233389223	+	69.35	0.63	109.0	1452	
chr2	233396853	233397367	+	50.78	0.6	20.0	514	
chr2	233414968	233416085	+	65.17	0.8	95.0	1117	
chr2	233430716	233431261	+	50.64	0.8	28.0	545	
chr2	233470496	233471105	+	57.96	0.9	46.0	609	
chr2	233497607	233499072	+	68.19	0.87	148.0	1465	
chr2	233499174	233499899	+	60.97	0.72	48.0	725	
chr2	233560579	233561172	+	56.66	0.8	38.0	593	
chr2	233561591	233562720	+	67.76	0.7	90.0	1129	
chr2	233740458	233742053	+	72.85	0.82	173.0	1595	
chr2	233765818	233766385	+	59.61	0.67	33.0	567	
chr2	233791249	233793997	+	69.76	0.79	264.0	2748	
chr2	234112793	234113515	+	65.79	0.73	57.0	722	
chr2	234121780	234122354	+	53.48	0.61	25.0	574	
chr2	234160013	234161370	+	58.29	0.88	101.0	1357	
chr2	234262917	234264366	+	71.57	0.93	172.0	1449	
chr2	234474768	234475627	+	60.19	0.72	56.0	859	
chr2	234632591	234633821	+	68.86	0.6	88.0	1230	
chr2	234652209	234652815	+	64.19	0.72	45.0	606	
chr2	234663562	234664166	+	64.24	0.71	44.0	604	
chr2	234762459	234763714	+	63.98	0.74	92.0	1255	
chr2	234776106	234777099	+	56.5	0.96	75.0	993	
chr2	234847352	234848181	+	52.35	0.72	41.0	829	
chr2	234932909	234933482	+	70.86	0.6	43.0	573	
chr2	235004615	235005157	+	61.25	1.62	64.0	542	
chr2	235404173	235406739	+	69.21	0.84	257.0	2566	
chr2	235470753	235471861	+	65.97	0.65	78.0	1108	
chr2	235859145	235861825	+	66.87	0.86	259.0	2680	
chr2	236300457	236301101	+	52.48	0.68	30.0	644	
chr2	236401631	236404166	+	71.56	0.92	297.0	2535	
chr2	236506266	236506891	+	60.32	1.09	62.0	625	
chr2	236577946	236580219	+	75.67	0.96	313.0	2273	
chr2	236643352	236643866	+	52.53	0.63	21.0	514	
chr2	236673246	236674298	+	66.92	0.66	69.0	1052	
chr2	236839027	236839732	+	58.58	0.63	38.0	705	
chr2	236869352	236869877	+	50.86	0.65	22.0	525	
chr2	236957581	236958099	+	52.32	0.74	26.0	518	
chr2	236961882	236962541	+	52.5	0.64	29.0	659	
chr2	236977166	236977757	+	54.65	0.78	34.0	591	
chr2	237032558	237033222	+	61.45	0.69	43.0	664	
chr2	237071616	237073845	+	65.41	0.71	170.0	2229	
chr2	237074505	237078028	+	66.28	0.84	325.0	3523	
chr2	237078166	237078827	+	58.55	0.82	46.0	661	
chr2	237081271	237082634	+	68.23	0.75	119.0	1363	
chr2	237086055	237087724	+	59.14	0.73	107.0	1669	
chr2	237087847	237088665	+	62.1	0.77	60.0	818	
chr2	237122818	237123642	+	71.6	0.96	101.0	824	
chr2	237145573	237146975	+	67.9	0.87	133.0	1402	
chr2	237297772	237298313	+	60.63	0.71	35.0	541	
chr2	237415899	237417029	+	55.93	0.82	72.0	1130	
chr2	237476312	237477700	+	61.02	0.77	99.0	1388	
chr2	237489097	237490165	+	56.37	0.61	50.0	1068	
chr2	237543940	237544529	+	61.46	0.62	34.0	589	
chr2	237993901	237995072	+	58.84	0.94	95.0	1171	
chr2	238280358	238281049	+	59.33	0.66	40.0	691	
chr2	238283050	238283648	+	62.04	0.61	35.0	598	
chr2	238383665	238384408	+	74.16	0.83	84.0	743	
chr2	238395062	238396396	+	66.64	0.78	115.0	1334	
chr2	238446518	238447231	+	58.63	0.6	36.0	713	
chr2	238471844	238472462	+	53.88	0.63	28.0	618	
chr2	238535310	238537097	+	68.1	0.85	175.0	1787	
chr2	238581924	238582593	+	61.43	0.6	37.0	669	
chr2	238599554	238601791	+	69.69	0.8	216.0	2237	
chr2	238706951	238708424	+	62.86	0.95	136.0	1473	
chr2	238767689	238769631	+	61.53	0.72	132.0	1942	
chr2	238864316	238865461	+	71.88	0.62	91.0	1145	
chr2	238875132	238876409	+	72.12	0.97	160.0	1277	
chr2	238968911	238970488	+	67.15	0.8	142.0	1577	
chr2	239049331	239050181	+	67.65	0.64	62.0	850	
chr2	239066321	239068275	+	67.66	0.68	152.0	1954	
chr2	239071929	239073488	+	67.67	0.86	154.0	1559	
chr2	239111660	239112786	+	74.51	0.93	145.0	1126	
chr2	239139732	239140756	+	59.57	0.8	73.0	1024	
chr2	239143018	239143622	+	66.06	0.74	48.0	604	
chr2	239147433	239150190	+	73.45	0.79	293.0	2757	
chr2	239196544	239198104	+	68.65	0.94	170.0	1560	
chr2	239228733	239229816	+	73.5	0.91	131.0	1083	
chr2	239260040	239260603	+	58.61	0.64	27.0	563	
chr2	239334755	239336264	+	66.8	0.83	140.0	1509	
chr2	239409339	239409874	+	56.26	0.88	37.0	535	
chr2	239754703	239758720	+	66.62	0.78	348.0	4017	
chr2	239763241	239763796	+	50.99	0.61	22.0	555	
chr2	239859033	239859552	+	54.91	0.64	25.0	519	
chr2	239888300	239889708	+	58.81	0.6	72.0	1408	
chr2	239969704	239970219	+	53.59	0.65	24.0	515	
chr2	239973724	239974333	+	50.9	0.7	27.0	609	
chr2	239974440	239974996	+	63.49	0.64	36.0	556	
chr2	240001773	240002477	+	50.14	0.68	30.0	704	
chr2	240005309	240006246	+	57.95	0.63	49.0	937	
